0,0,"['479', '446', '522', '482', '491', '458', '36', '3', '79']"
0,1,"['511', '523', '507', '481', '487', '443', '68', '80', '64']"
0,2,"['464', '460', '457', '508', '451', '455', '21', '17', '14']"
0,3,"['510', '449', '525', '484', '526', '462', '67', '6', '82']"
0,4,"['472', '474', '456', '448', '520', '465', '29', '31', '13']"
0,5,"['521', '453', '528', '518', '461', '524', '78', '10', '85']"
0,6,"['490', '495', '450', '485', '475', '502', '47', '52', '7']"
0,7,"['514', '454', '500', '529', '467', '517', '71', '11', '57']"
0,8,"['506', '501', '493', '470', '466', '471', '63', '58', '50']"
0,9,"['498', '513', '483', '489', '515', '497', '55', '70', '40']"
0,10,"['468', '492', '452', '486', '478', '527', '25', '49', '9']"
1,0,"['39', '48', '15', '206', '213', '179', '191', '221', '176']"
1,1,"['38', '44', '0', '256', '245', '257', '242', '184', '188']"
1,2,"['65', '8', '12', '193', '190', '244', '218', '261', '195']"
1,3,"['41', '83', '19', '182', '259', '205', '181', '254', '198']"
1,4,"['5', '77', '22', '207', '189', '255', '252', '194', '258']"
1,5,"['75', '18', '81', '186', '263', '224', '219', '208', '236']"
1,6,"['42', '32', '59', '229', '183', '248', '264', '200', '251']"
1,7,"['86', '24', '74', '187', '234', '240', '203', '199', '204']"
1,8,"['27', '23', '28', '235', '227', '232', '223', '249', '192']"
1,9,"['46', '72', '16', '247', '217', '201', '231', '220', '211']"
1,10,"['54', '43', '35', '226', '185', '239', '262', '238', '250']"
2,0,"['738', '745', '711', '757', '723', '747', '827', '834', '800']"
2,1,"['788', '777', '789', '753', '708', '774', '877', '866', '878']"
2,2,"['773', '729', '725', '716', '720', '750', '862', '818', '814']"
2,3,"['722', '776', '714', '793', '727', '713', '811', '865', '803']"
2,4,"['791', '737', '739', '786', '730', '784', '880', '826', '828']"
2,5,"['721', '787', '718', '726', '790', '751', '810', '876', '807']"
2,6,"['795', '756', '761', '740', '768', '796', '884', '845', '850']"
2,7,"['715', '780', '719', '732', '783', '735', '804', '869', '808']"
2,8,"['766', '772', '767', '731', '736', '755', '855', '861', '856']"
2,9,"['759', '764', '779', '781', '724', '763', '853', '868', '838']"
2,10,"['749', '733', '758', '752', '743', '770', '822', '847', '806']"
3,0,"['812', '836', '842', '649', '656', '622', '668', '634', '658']"
3,1,"['797', '863', '805', '699', '688', '700', '664', '619', '685']"
3,2,"['809', '839', '882', '684', '640', '636', '627', '631', '661']"
3,3,"['816', '802', '875', '633', '687', '625', '704', '638', '624']"
3,4,"['819', '873', '815', '702', '648', '650', '697', '641', '695']"
3,5,"['879', '840', '829', '632', '698', '629', '637', '701', '662']"
3,6,"['857', '885', '821', '706', '667', '672', '651', '679', '707']"
3,7,"['872', '824', '820', '626', '691', '630', '643', '694', '646']"
3,8,"['825', '844', '870', '677', '683', '678', '642', '647', '666']"
3,9,"['813', '852', '841', '670', '675', '690', '692', '635', '674']"
3,10,"['832', '859', '851', '660', '644', '669', '663', '654', '705']"
4,0,"['384', '391', '357', '403', '369', '393', '560', '567', '533']"
4,1,"['434', '423', '435', '399', '354', '420', '610', '599', '611']"
4,2,"['419', '375', '371', '362', '366', '396', '595', '551', '547']"
4,3,"['368', '422', '360', '439', '373', '359', '544', '598', '536']"
4,4,"['437', '383', '367', '432', '376', '430', '559', '561', '543']"
4,5,"['433', '364', '441', '372', '436', '397', '609', '540', '617']"
4,6,"['402', '407', '361', '386', '414', '442', '578', '583', '537']"
4,7,"['426', '412', '418', '378', '429', '381', '602', '541', '588']"
4,8,"['413', '405', '410', '377', '382', '401', '594', '589', '581']"
4,9,"['425', '395', '379', '427', '370', '409', '586', '601', '571']"
4,10,"['404', '363', '417', '398', '389', '440', '555', '580', '539']"
5,0,"['579', '545', '569', '117', '124', '90', '136', '102', '126']"
5,1,"['575', '530', '596', '167', '156', '168', '132', '87', '153']"
5,2,"['538', '572', '615', '152', '108', '104', '95', '99', '129']"
5,3,"['549', '535', '608', '101', '155', '93', '172', '92', '165']"
5,4,"['552', '606', '548', '170', '116', '118', '109', '163', '105']"
5,5,"['612', '573', '562', '100', '166', '97', '169', '130', '119']"
5,6,"['590', '618', '554', '174', '135', '94', '147', '175', '111']"
5,7,"['605', '553', '557', '159', '98', '145', '162', '114', '110']"
5,8,"['558', '577', '603', '151', '146', '138', '115', '134', '160']"
5,9,"['546', '585', '574', '143', '158', '128', '103', '142', '131']"
5,10,"['565', '616', '592', '112', '137', '96', '122', '173', '149']"
